listing_id,adjusted_price_original,available,neighbourhood,property_type,amenities,number_of_reviews,review_scores_rating,amenities,cancellation_policy,adjusted_price_sum,precio_rango
41475668,9957,f,Palermo,Apartment,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Heating,Washer,Essentials,""Hair dryer"",Iron}",0,,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Heating,Washer,Essentials,""Hair dryer"",Iron}",moderate,3634305.0,3647810
20491109,9957,f,San Nicolás,Loft,"{TV,Wifi,Kitchen,""Pets allowed"",Elevator,Essentials,Hangers,""Laptop friendly workspace"",""Private entrance""}",0,,"{TV,Wifi,Kitchen,""Pets allowed"",Elevator,Essentials,Hangers,""Laptop friendly workspace"",""Private entrance""}",flexible,3634305.0,3647810
39489355,9957,f,Palermo,Condominium,"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",Gym,Breakfast,Elevator,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,100.0,"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",Gym,Breakfast,Elevator,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",flexible,3634305.0,3647810
36470781,9957,f,Recoleta,Condominium,"{TV,Wifi,Kitchen,Heating,Washer,Essentials,""Private entrance"",""Hot water""}",0,,"{TV,Wifi,Kitchen,Heating,Washer,Essentials,""Private entrance"",""Hot water""}",flexible,3634305.0,3647810
27051143,9341,f,Palermo,Apartment,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Gym,Elevator,Heating,Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Single level home"",""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",1,100.0,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Gym,Elevator,Heating,Washer,Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Single level home"",""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",flexible,3409465.0,3647810
15255380,9293,f,Puerto Madero,Apartment,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed""}",25,100.0,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Room-darkening shades"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed""}",flexible,3391945.0,3647810
40442129,9293,f,Palermo,Apartment,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Gym,Elevator,""Free street parking"",Heating,Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private living room"",Bathtub,""Window guards"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Baking sheet"",""Trash can""}",4,100.0,"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Gym,Elevator,""Free street parking"",Heating,Washer,Dryer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private living room"",Bathtub,""Window guards"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Baking sheet"",""Trash can""}",strict_14_with_grace_period,3391945.0,3647810
10334153,9293,f,Villa Urquiza,House,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",0,,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",moderate,3391945.0,3647810
25807666,9293,f,Palermo,Apartment,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Hot tub"",Heating,Washer,""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard""}",1,,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Hot tub"",Heating,Washer,""Safety card"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard""}",flexible,3391945.0,3647810
20016019,9293,f,Palermo,Apartment,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,""Hot tub"",Heating,Washer,Dryer,""First aid kit"",""Safety card"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",2,100.0,"{TV,Wifi,""Air conditioning"",Pool,Kitchen,Gym,Elevator,""Hot tub"",Heating,Washer,Dryer,""First aid kit"",""Safety card"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",flexible,3391945.0,3647810
